,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,LL,MM,NN,OO,PP,QQ,RR,SS,TT,UU,VV,WW,XX,YY,ZZ,AB,BC,CD,DE,EF,FG,GH,HI,IJ,JK,KL,LM
AA,,4,3,3,5,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,5,4,3,3,4,3,3,3,4,4,3,3,3,3
BB,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CC,5,3,,5,5,3,5,5,3,5,3,5,5,5,3,5,5,3,3,3,4,3,3,5,3,5,3,3,3,5,5,3,3,3,3,5,3,3
DD,4,3,4,,5,4,5,3,4,5,5,5,4,5,5,5,4,4,4,3,4,5,4,5,5,4,5,3,4,5,5,5,5,3,4,5,5,4
EE,4,3,3,4,,3,4,3,3,2,4,3,3,3,5,5,3,4,5,2,3,3,3,4,4,2,2,2,4,3,3,3,5,3,3,3,3,3
FF,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
GG,4,3,5,5,5,4,,4,2,3,4,3,3,5,5,5,3,3,5,3,4,3,3,4,4,4,4,3,4,3,5,4,5,3,4,4,4,4
HH,5,3,5,5,3,3,3,,3,5,5,5,5,5,5,5,3,3,3,3,3,5,3,3,5,3,5,3,3,5,5,3,5,3,3,5,3,3
II,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,4,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
JJ,4,3,3,5,5,3,4,4,3,,5,3,3,3,4,4,4,3,4,3,3,3,3,4,4,4,5,3,3,3,3,3,5,2,3,5,4,4
KK,3,3,3,5,5,3,5,5,3,5,,3,3,5,5,5,3,5,5,3,3,5,3,3,5,5,5,3,3,3,3,5,5,3,5,5,3,3
LL,5,3,5,5,3,3,3,5,2,5,4,,3,3,5,5,5,3,5,3,3,5,5,4,4,3,5,3,4,4,5,5,4,3,5,3,3,3
MM,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,4,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3
NN,3,3,4,4,4,3,5,4,3,3,4,3,3,,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
OO,5,1,1,3,5,3,5,5,3,1,4,4,3,5,,5,3,3,5,3,3,4,3,3,4,4,5,3,3,3,4,5,5,4,4,3,3,3
PP,4,3,3,5,4,3,3,3,3,4,3,3,3,3,5,,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3
QQ,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,,3,4,3,4,3,4,5,3,3,3,4,3,3,3,3,3,3,3,5,3,3
RR,3,3,3,4,4,3,3,3,3,3,5,3,4,3,4,5,3,,5,3,3,3,3,4,5,3,3,3,3,3,3,3,5,3,3,3,3,3
SS,3,3,3,3,4,3,3,3,3,3,3,3,3,3,5,5,3,4,,2,3,3,3,4,4,3,3,3,3,3,3,3,5,3,3,3,4,3
TT,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,3,3,4,,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UU,4,3,2,4,4,4,5,4,4,3,5,3,4,5,5,5,4,5,5,5,,5,4,2,3,3,3,2,3,3,3,3,5,3,3,4,4,3
VV,3,3,3,5,3,3,4,3,3,4,3,3,3,3,5,5,3,3,3,3,3,,3,3,3,3,4,3,3,3,3,5,5,3,3,3,3,3
WW,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
XX,3,3,1,5,4,3,4,4,2,3,4,3,4,3,5,4,5,4,5,3,3,3,3,,4,4,3,4,3,3,2,3,5,3,4,5,5,3
YY,5,3,3,4,4,3,3,4,4,4,4,4,4,4,5,5,3,5,5,3,3,3,3,5,,4,4,3,3,3,3,4,4,4,4,3,3,3
ZZ,3,3,2,4,4,3,4,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,4,4,,3,3,3,3,3,3,4,3,3,3,4,3
AB,3,3,3,5,3,3,4,3,3,4,3,3,3,4,4,5,3,3,3,3,3,3,3,3,4,3,,3,3,3,3,3,5,3,3,4,3,3
BC,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,5,3,3,3,3,3,3,5,3,3,3,,3,3,3,3,3,3,3,5,3,3
CD,4,3,3,3,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,,3,3,3,4,3,3,3,3,3
DE,4,3,4,5,5,4,4,3,5,5,3,4,3,3,3,5,3,3,3,3,5,3,3,3,3,3,3,3,3,,5,3,5,3,3,3,5,3
EF,3,3,4,5,4,3,5,3,3,5,3,4,3,3,4,5,3,3,4,3,3,3,3,3,3,3,3,3,3,3,,5,5,3,4,3,3,3
FG,3,3,3,4,3,3,3,4,3,3,3,4,3,3,5,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,,3,3,5,3,3,3
GH,4,3,2,5,5,3,5,3,3,5,5,3,5,3,5,4,3,5,5,3,3,5,2,5,5,5,5,3,5,3,3,3,,2,4,5,5,5
HI,5,3,2,3,4,3,3,3,3,4,3,3,4,3,5,3,3,5,5,3,3,3,3,3,4,4,3,3,3,3,3,3,4,,3,3,3,3
IJ,4,3,3,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,3,3,3
JK,3,3,3,4,4,3,3,3,3,3,4,3,5,4,3,3,5,3,4,3,3,3,3,5,4,4,4,4,3,3,3,3,4,3,3,,3,3
KL,3,3,3,3,3,3,4,3,3,4,3,3,3,3,4,4,3,4,4,3,3,3,3,5,5,4,3,3,3,3,3,4,4,3,3,4,,4
LM,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
